reads	unique_genes	unique_isoforms	unique_genes_known	unique_isoforms_known
50000	6902	12078	6866	9522
100000	8440	17755	8373	13066
150000	9273	22186	9188	15544
200000	9884	25786	9772	17375
250000	10384	29075	10251	18986
300000	10791	31997	10627	20309
350000	11089	34665	10915	21452
400000	11349	37099	11151	22444
450000	11585	39442	11365	23355
500000	11779	41633	11549	24204
550000	11967	43669	11719	24935
600000	12178	45726	11915	25662
650000	12320	47610	12042	26278
700000	12466	49443	12175	26874
750000	12609	51224	12300	27445
800000	12734	52913	12408	27939
850000	12869	54615	12531	28488
900000	12963	56197	12613	28932
950000	13065	57761	12705	29378
1000000	13164	59265	12791	29789
1050000	13255	60711	12876	30164
1100000	13345	62131	12957	30562
1150000	13428	63517	13028	30929
1200000	13518	64914	13101	31276
1250000	13610	66249	13177	31625
1300000	13670	67499	13229	31909
1350000	13734	68801	13284	32226
1400000	13813	70149	13353	32565
1450000	13898	71422	13423	32873
1500000	13963	72619	13481	33141
1550000	14044	73769	13551	33389
1600000	14106	74912	13597	33639
1650000	14167	76069	13649	33867
1700000	14229	77198	13703	34135
1750000	14291	78286	13753	34386
1800000	14348	79388	13800	34621
1850000	14395	80466	13839	34868
1900000	14447	81516	13881	35080
1950000	14504	82574	13926	35309
2000000	14562	83640	13976	35524
2050000	14610	84657	14018	35706
2100000	14669	85610	14063	35885
2150000	14722	86572	14105	36069
2200000	14770	87562	14139	36273
2250000	14803	88559	14165	36466
2300000	14837	89489	14191	36646
2350000	14896	90451	14233	36848
2400000	14946	91363	14275	37013
2450000	14988	92270	14306	37176
2500000	15033	93145	14343	37347
2550000	15077	94016	14381	37529
2600000	15129	94946	14424	37709
2650000	15166	95865	14451	37878
2700000	15204	96720	14481	38006
2750000	15244	97605	14514	38161
2800000	15283	98453	14548	38304
2850000	15320	99327	14576	38447
2900000	15366	100121	14612	38592
2950000	15414	100941	14649	38725
3000000	15457	101744	14684	38860
3050000	15495	102597	14712	39006
3100000	15537	103379	14750	39130
3150000	15570	104176	14776	39249
3200000	15605	104941	14804	39373
3250000	15641	105752	14829	39504
3300000	15671	106515	14850	39622
3350000	15713	107271	14881	39752
3400000	15736	107997	14900	39877
3450000	15762	108781	14917	39990
3500000	15809	109535	14946	40109
3550000	15849	110208	14980	40229
3600000	15873	110943	14998	40340
3650000	15905	111653	15022	40445
3700000	15936	112336	15046	40558
3750000	15962	113017	15068	40664
3800000	15986	113755	15084	40787
3850000	16023	114469	15113	40904
3900000	16055	115183	15139	41022
3950000	16079	115841	15159	41107
4000000	16106	116469	15180	41204
4050000	16128	117119	15197	41297
4100000	16150	117826	15217	41396
4150000	16177	118504	15239	41506
4200000	16200	119157	15259	41598
4250000	16222	119803	15275	41703
4300000	16254	120481	15295	41788
4350000	16272	121098	15308	41861
4400000	16301	121717	15332	41960
4450000	16325	122325	15351	42039
4500000	16359	122990	15377	42122
4550000	16387	123664	15400	42223
4600000	16412	124262	15414	42319
4650000	16454	124871	15453	42412
4700000	16479	125465	15473	42494
4750000	16501	126062	15487	42571
4800000	16529	126641	15509	42657
4850000	16555	127204	15530	42736
4900000	16573	127831	15544	42812
4950000	16600	128411	15567	42891
5000000	16630	129056	15584	42978
5050000	16652	129633	15601	43043
5100000	16667	130205	15612	43109
5150000	16680	130785	15620	43176
5200000	16705	131402	15639	43262
5250000	16731	131980	15654	43330
5300000	16754	132537	15674	43405
5350000	16768	133105	15687	43470
5400000	16788	133651	15700	43550
5450000	16803	134230	15714	43631
5500000	16823	134798	15729	43712
5550000	16836	135383	15738	43780
5600000	16855	135897	15753	43838
5650000	16876	136463	15767	43903
5700000	16904	137024	15788	43988
5750000	16927	137585	15805	44057
5800000	16947	138156	15818	44124
5850000	16967	138699	15829	44201
5900000	16981	139207	15837	44253
5950000	17001	139739	15854	44333
6000000	17015	140233	15863	44387
6050000	17037	140733	15877	44452
6100000	17050	141210	15886	44505
6150000	17065	141704	15896	44563
6200000	17090	142233	15913	44630
6250000	17109	142708	15925	44682
6300000	17142	143199	15949	44744
6350000	17166	143731	15971	44801
6400000	17188	144233	15984	44849
6450000	17200	144748	15993	44916
6500000	17224	145255	16007	44971
6550000	17239	145713	16016	45028
6600000	17254	146209	16027	45088
6650000	17279	146693	16040	45152
6700000	17297	147160	16054	45214
6750000	17318	147666	16069	45268
6800000	17335	148149	16079	45333
6850000	17355	148601	16093	45386
6900000	17374	149073	16106	45450
6950000	17385	149560	16115	45503
7000000	17400	150000	16123	45560
7050000	17414	150426	16131	45603
7100000	17437	150928	16147	45674
7150000	17455	151361	16162	45735
7200000	17470	151794	16170	45777
7250000	17483	152246	16179	45836
7300000	17498	152706	16193	45896
7350000	17520	153149	16206	45945
7400000	17533	153575	16217	45991
7450000	17544	153993	16223	46037
7500000	17557	154398	16231	46087
7550000	17566	154830	16237	46128
7600000	17585	155284	16252	46177
7650000	17594	155722	16254	46214
7700000	17610	156154	16263	46263
7750000	17623	156568	16274	46303
7800000	17635	156953	16280	46339
7850000	17647	157388	16290	46390
7900000	17660	157810	16300	46443
7950000	17673	158195	16309	46486
8000000	17690	158571	16318	46526
8050000	17706	158979	16326	46568
8100000	17717	159399	16332	46618
8150000	17734	159828	16341	46663
8200000	17740	160232	16345	46700
8250000	17754	160643	16355	46735
8300000	17766	161036	16362	46778
8350000	17781	161425	16375	46818
8400000	17789	161830	16378	46851
8450000	17803	162240	16388	46900
8500000	17817	162656	16400	46940
8550000	17832	163061	16409	46980
8600000	17842	163458	16417	47022
8650000	17854	163845	16424	47055
8700000	17872	164248	16435	47099
8750000	17885	164641	16446	47133
8800000	17905	165037	16460	47172
8850000	17914	165415	16466	47214
8900000	17928	165830	16478	47253
8950000	17942	166228	16485	47298
9000000	17954	166585	16494	47338
9050000	17965	166916	16502	47373
9100000	17981	167293	16512	47403
9150000	17993	167641	16518	47428
9200000	18011	168045	16531	47472
9250000	18021	168434	16539	47513
9300000	18033	168781	16548	47545
9350000	18042	169136	16552	47573
9400000	18061	169489	16561	47606
9450000	18071	169836	16567	47638
9500000	18084	170207	16577	47684
9550000	18096	170596	16586	47723
9600000	18101	170949	16589	47762
9650000	18108	171274	16596	47800
9700000	18119	171600	16605	47829
9750000	18133	171955	16614	47868
9800000	18144	172316	16621	47906
9850000	18155	172625	16627	47932
9900000	18164	172991	16634	47967
9950000	18175	173349	16642	48002
10000000	18187	173723	16649	48042
10050000	18199	174076	16658	48071
10100000	18215	174423	16670	48106
10150000	18234	174768	16682	48141
10200000	18251	175120	16694	48175
10250000	18268	175438	16703	48195
10300000	18277	175768	16709	48225
10350000	18285	176101	16716	48268
10400000	18299	176432	16724	48297
10450000	18315	176756	16732	48337
10500000	18324	177080	16736	48366
10550000	18331	177400	16741	48401
10600000	18344	177755	16749	48431
10650000	18360	178108	16758	48462
10700000	18366	178438	16761	48499
10750000	18376	178769	16767	48524
10800000	18389	179076	16774	48554
10850000	18394	179396	16777	48584
10900000	18412	179733	16791	48624
10950000	18430	180063	16801	48663
11000000	18439	180345	16807	48689
11050000	18454	180647	16814	48722
11100000	18462	180927	16819	48754
11150000	18464	181257	16821	48791
11200000	18476	181539	16829	48823
11250000	18489	181877	16840	48854
11300000	18502	182166	16848	48887
11350000	18508	182456	16852	48907
11400000	18514	182738	16855	48927
11450000	18528	183047	16862	48959
11500000	18537	183346	16868	48986
11550000	18551	183658	16879	49006
11600000	18567	183997	16891	49042
11650000	18576	184288	16896	49073
11700000	18580	184588	16900	49101
11750000	18590	184875	16907	49124
11800000	18597	185189	16912	49151
11850000	18611	185466	16919	49179
11900000	18624	185744	16928	49201
11950000	18638	186064	16938	49232
12000000	18648	186355	16945	49255
12050000	18659	186649	16948	49288
12100000	18671	186939	16956	49313
12150000	18680	187223	16962	49337
12200000	18691	187510	16969	49362
12250000	18699	187799	16974	49383
12300000	18711	188088	16980	49406
12350000	18720	188366	16985	49438
12400000	18733	188650	16993	49456
12450000	18748	188941	17002	49491
12500000	18759	189218	17011	49515
12550000	18768	189473	17017	49537
12600000	18784	189759	17029	49571
12650000	18791	190028	17033	49602
12700000	18802	190319	17037	49635
12750000	18817	190624	17048	49656
12800000	18834	190912	17060	49686
12850000	18836	191180	17060	49704
12900000	18847	191466	17068	49734
12950000	18852	191734	17071	49764
13000000	18860	191986	17076	49780
13050000	18863	192242	17077	49807
13100000	18869	192493	17081	49831
13150000	18874	192760	17085	49853
13200000	18883	193007	17092	49878
13250000	18893	193279	17094	49903
13300000	18902	193514	17101	49919
13350000	18910	193787	17106	49944
13400000	18917	194026	17108	49965
13450000	18925	194279	17114	49982
13500000	18937	194572	17124	50004
13550000	18945	194816	17129	50021
13600000	18957	195060	17134	50050
13650000	18965	195331	17139	50069
13700000	18971	195583	17143	50090
13750000	18978	195835	17148	50112
13800000	18983	196100	17148	50134
13850000	18993	196354	17156	50161
13900000	18998	196598	17159	50176
13950000	19009	196845	17168	50198
14000000	19012	197082	17169	50213
14050000	19021	197325	17175	50234
14100000	19028	197561	17180	50250
14150000	19039	197791	17183	50267
14200000	19047	198020	17190	50287
14250000	19060	198281	17201	50320
14300000	19066	198531	17202	50332
14350000	19070	198757	17204	50348
14400000	19079	198993	17210	50370
14450000	19088	199254	17215	50394
14500000	19094	199504	17218	50414
14550000	19100	199730	17220	50434
14600000	19108	199960	17227	50464
14650000	19116	200176	17232	50478
14700000	19124	200402	17239	50496
14750000	19134	200630	17248	50515
14800000	19140	200869	17253	50531
14850000	19148	201123	17256	50560
14900000	19159	201379	17263	50586
14950000	19171	201617	17272	50610
15000000	19178	201821	17276	50628
15050000	19185	202073	17279	50657
15100000	19194	202296	17285	50680
15150000	19202	202520	17290	50696
15200000	19208	202733	17291	50712
15250000	19215	202954	17297	50735
15300000	19219	203181	17298	50753
15350000	19229	203396	17308	50777
15400000	19237	203601	17313	50799
15450000	19245	203824	17320	50818
15500000	19256	204052	17327	50834
15550000	19269	204280	17335	50852
15600000	19272	204469	17337	50864
15650000	19278	204692	17341	50884
15700000	19285	204903	17346	50901
15750000	19292	205091	17350	50917
15800000	19302	205334	17353	50937
15850000	19309	205549	17356	50961
15900000	19317	205750	17364	50979
15950000	19325	205968	17369	50995
16000000	19329	206165	17372	51010
16050000	19337	206365	17380	51024
16100000	19344	206589	17382	51044
16150000	19356	206811	17392	51062
16200000	19366	207037	17399	51081
16250000	19371	207245	17403	51097
16300000	19377	207445	17407	51122
16350000	19385	207654	17413	51136
16400000	19393	207883	17418	51154
16450000	19401	208113	17423	51169
16500000	19406	208325	17427	51183
16550000	19411	208544	17431	51196
16600000	19415	208722	17433	51205
16650000	19422	208934	17437	51220
16700000	19437	209125	17445	51233
16750000	19443	209322	17448	51247
16800000	19453	209515	17451	51261
16850000	19462	209695	17457	51272
